user_id,items,porcentaje_recomendados,precio_total
--000--,1,100.0,19.99
--ace--,1,100.0,4.99
--ionex--,2,100.0,24.98
-2SV-vuLB-Kg,3,100.0,64.97
-Azsael-,1,100.0,29.99
-Beave-,1,100.0,19.99
-Kenny,1,100.0,19.99
-Mad-,2,100.0,34.98
-PRoSlayeR-,2,50.0,5.98
-SEVEN-,9,77.77777777777779,151.91
-SatansLittleHelper-,1,100.0,14.99
-Thyme-,1,100.0,4.99
-Ultrix,1,100.0,9.99
-Zovix-,1,100.0,14.99
-_PussyDestroyer_-,2,100.0,17.98
-kainey9777,1,100.0,14.99
0-3-0,2,100.0,29.99
00000000000000000001227,4,100.0,44.96
001000111000111000010,1,100.0,19.99
00454211432342,1,0.0,14.99
00690069006900,1,100.0,0.0
0099654321891111,1,100.0,2.99
00True,2,100.0,49.980000000000004
01001000-01101001,3,100.0,104.97
011011010111001000101110,1,100.0,14.99
011111135489484797,1,100.0,19.99
01189958889189157253,4,100.0,59.96
01221733,1,100.0,160.91
0136849195,1,100.0,3.99
022899,2,100.0,44.98
04061993,3,100.0,54.97
04092013,1,100.0,4.99
042153100,2,50.0,64.98
04280122,1,100.0,0.0
0432-026-no,1,100.0,19.99
05041129,8,100.0,71.92
05461025,1,100.0,0.0
0700464574757,1,100.0,14.99
07846813956825,2,0.0,24.979999999999997
0896398616,2,100.0,14.99
0903512455,1,100.0,19.99
09106,4,100.0,59.98
091263,9,100.0,91.92
095732,3,66.66666666666666,19.99
095843067,1,100.0,24.99
09876543231,1,100.0,19.99
098766catdogbnmnnn,2,100.0,19.99
10000000thVisitor,1,100.0,19.99
1001101001110101,1,0.0,4.99
10051997,4,100.0,54.96
101010101111,1,100.0,9.99
1011001,8,87.5,109.92
102598615,1,100.0,0.0
10936543792,2,100.0,0.0
10Degree,5,100.0,54.95
110211021,1,100.0,14.99
111190869,1,100.0,24.99
111222333444555666888,20,100.0,419.8
11124,1,0.0,4.99
111zerosen,1,100.0,4.99
1122305938,2,100.0,44.98
113595,3,100.0,29.98
1136579070,1,100.0,0.0
11567jj,1,100.0,0.0
117arbiter,4,100.0,64.97
119922883377446655123456789,1,0.0,39.99
11XGX,2,50.0,14.99
120488700,1,100.0,9.99
1212343456567878909,1,100.0,14.99
12125,2,100.0,0.0
123123123131231231,1,100.0,14.99
12312312332123,3,100.0,29.979999999999997
123232343432555686888554456555,1,100.0,19.99
12332165478953761,1,100.0,59.99
12345676543456789098543,2,100.0,19.99
1234567810132,1,100.0,0.0
12345678901234567890123456567890,7,85.71428571428571,109.94
1234567890192837465,3,100.0,23.979999999999997
12345678910a,1,100.0,14.99
123456789874561232145678,1,100.0,19.99
123456789diamond987654321,1,100.0,19.99
1234567io9872345678765432,7,85.71428571428571,94.96000000000001
1234865654,1,100.0,9.99
12391939123,1,100.0,9.99
123joshua321,1,100.0,0.99
123repulseMe,2,100.0,19.99
12536475869trhgsdf,3,100.0,0.0
12779,5,80.0,79.96000000000001
129874182,2,100.0,39.98
12DeAgostoAs12HRSe26MIN,1,100.0,0.0
12_gauge_org,2,100.0,54.980000000000004
12das,1,100.0,0.0
1300655506nigga,1,100.0,9.99
131312,9,77.77777777777779,159.91
131467132,1,100.0,14.99
1321742413,2,50.0,24.98
1337666133766613376661337,1,100.0,0.0
1337_K_REW,1,100.0,14.99
1337hunter,2,100.0,0.0
1337lolroflmao,8,100.0,157.92
